Code,Name,OfficialName,OtherNames,Level,M49Code,ContinentCode,SubregionCode,CountryCode,CountryCodeISOa3,SubdivisionCode,Lat,Lon,Population,GleamID
G-EBA,Elba Island,,,gleam_basin,,W-EU,,IT,ITA,,,,,3070
G-EBB,Entebbe,,,gleam_basin,,W-AF,,UG,UGA,,,,175000.0,3163
G-EBD,El Obeid,,,gleam_basin,,W-AF,,SD,SDN,,,,393000.0,3011
G-EBH,El Bayadh,,,gleam_basin,,W-AF,,DZ,DZA,,,,67000.0,18
G-EBL,Erbil,,,gleam_basin,,W-AS,,IQ,IRQ,,,,926000.0,2912
G-EBU,St-etienne,,,gleam_basin,,W-EU,,FR,FRA,,,,,1497
G-ECP,Panama City (US),,,gleam_basin,,W-NA,,US,USA,,,,,2094
G-EDI,Edinburgh,,,gleam_basin,,W-EU,,GB,GBR,,,,505000.0,762
G-EDL,Eldoret,,,gleam_basin,,W-AF,,KE,KEN,,,,353000.0,1724
G-EDO,Edremit,,,gleam_basin,,W-AS,,TR,TUR,,,,41000.0,1742
G-EDR,Pormpuraaw,,,gleam_basin,,W-OC,,AU,AUS,,,,,1574
G-EFL,Kefallinia,,,gleam_basin,,W-EU,,GR,GRC,,,,,935
G-EGC,Bergerac,,,gleam_basin,,W-EU,,FR,FRA,,,,28000.0,1526
G-EGM,Seghe,,,gleam_basin,,W-OC,,SB,SLB,,,,,3034
G-EGN,Geneina,,,gleam_basin,,W-AF,,SD,SDN,,,,163000.0,3019
G-EGO,Belgorod,,,gleam_basin,,W-EU,,RU,RUS,,,,345000.0,1902
G-EGS,Egilsstadir,,,gleam_basin,,W-EU,,IS,ISL,,,,,1351
G-EGX,Egegik,,,gleam_basin,,W-NA,,US,USA,,,,,2422
G-EIN,Eindhoven,,,gleam_basin,,W-EU,,NL,NLD,,,,398000.0,836
G-EIS,Beef Island,,,gleam_basin,,W-NA,,VG,VGB,,,,,901
G-EJA,Barrancabermeja,,,gleam_basin,,W-SA,,CO,COL,,,,191000.0,1384
G-EJH,Wedjh,,,gleam_basin,,W-AS,,SA,SAU,,,,,261
G-EKO,Elko,,,gleam_basin,,W-NA,,US,USA,,,,21000.0,2285
G-EKS,Shakhtersk,,,gleam_basin,,W-EU,,RU,RUS,,,,,1860
G-ELC,Elcho Island,,,gleam_basin,,W-OC,,AU,AUS,,,,,1625
G-ELD,El Dorado,,,gleam_basin,,W-NA,,US,USA,,,,18000.0,2259
G-ELF,El Fasher,,,gleam_basin,,W-AF,,SD,SDN,,,,253000.0,3014
G-ELG,El Golea,,,gleam_basin,,W-AF,,DZ,DZA,,,,32000.0,28
