Code,Date,EstimatedInfectous
DZ,2020-03-27 00:00:00,4008
DZ,2020-03-30 00:00:00,3805
DZ,2020-03-31 00:00:00,17311
DZ,2020-04-02 00:00:00,43455
EC,2020-03-24 00:00:00,7848
EC,2020-03-25 00:00:00,10820
EC,2020-03-27 00:00:00,10820
EC,2020-03-30 00:00:00,14030
EC,2020-03-31 00:00:00,58028
EC,2020-04-02 00:00:00,97708
EE,2020-03-24 00:00:00,2816
EE,2020-03-25 00:00:00,3690
EE,2020-03-27 00:00:00,3690
EE,2020-03-30 00:00:00,5750
EE,2020-03-31 00:00:00,7318
EE,2020-04-02 00:00:00,2087
EG,2020-03-25 00:00:00,19500
EG,2020-03-27 00:00:00,19500
EG,2020-03-30 00:00:00,23738
EG,2020-03-31 00:00:00,100000
EG,2020-04-02 00:00:00,80000
ER,2020-03-25 00:00:00,260
ER,2020-03-27 00:00:00,260
ER,2020-03-30 00:00:00,310
ER,2020-03-31 00:00:00,400
ER,2020-04-02 00:00:00,400
ES,2020-03-24 00:00:00,343397
ES,2020-03-25 00:00:00,638707
ES,2020-03-27 00:00:00,638707
ES,2020-03-30 00:00:00,663459
ES,2020-03-31 00:00:00,3439218
ES,2020-04-02 00:00:00,1968106
ET,2020-03-25 00:00:00,370
ET,2020-03-27 00:00:00,370
ET,2020-03-30 00:00:00,410
ET,2020-03-31 00:00:00,600
ET,2020-04-02 00:00:00,600
FI,2020-03-24 00:00:00,3101
FI,2020-03-25 00:00:00,3408
FI,2020-03-27 00:00:00,3408
FI,2020-03-30 00:00:00,7566
FI,2020-03-31 00:00:00,12432
FI,2020-04-02 00:00:00,4350
FJ,2020-03-25 00:00:00,60
FJ,2020-03-27 00:00:00,60
FJ,2020-03-30 00:00:00,70
FJ,2020-03-31 00:00:00,80
FJ,2020-04-02 00:00:00,80
FR,2020-03-24 00:00:00,246840
FR,2020-03-25 00:00:00,307472
FR,2020-03-27 00:00:00,307472
FR,2020-03-30 00:00:00,411060
FR,2020-03-31 00:00:00,1286373
FR,2020-04-02 00:00:00,879776
GA,2020-03-25 00:00:00,80
GA,2020-03-27 00:00:00,80
GA,2020-03-30 00:00:00,90
GA,2020-03-31 00:00:00,120
GA,2020-04-02 00:00:00,359
GB,2020-03-24 00:00:00,233133
GB,2020-03-25 00:00:00,290909
GB,2020-03-27 00:00:00,290909
GB,2020-03-30 00:00:00,401317
GB,2020-03-31 00:00:00,1407086
GB,2020-04-02 00:00:00,1111661
GD,2020-03-25 00:00:00,30
GD,2020-03-27 00:00:00,30
