Code,Date,Symptomatic isolation - targeted,Symptomatic isolation - blanket,Asymptomatic isolation - targeted,Asymptomatic isolation - blanket,Domestic travel restriction,Nonessential business suspension,International travel restriction,Testing,Contact tracing,Mask wearing,Hand washing,Gatherings banned,Healthcare specialisation,Public education and incentives,Assisting people to stay home,Public cleaning,Miscellaneous hygiene measures,Public interaction and hygiene,School closure,Activity cancellation,Resumption,Diagnostic criteria loosened,Diagnostic criteria tightened,Testing criteria
GB,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KR,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
SG,2020-02-18 00:00:00+00:00,,2.0,1.0,1.0,,,5.0,,2000.0,,,200.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.1
IL,2020-02-18 00:00:00+00:00,,,,,,,5.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JP,2020-02-18 00:00:00+00:00,,,2.0,,,,5.0,2404.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
SE,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN-HK,2020-02-18 00:00:00+00:00,,,,,,,3.0,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TW,2020-02-18 00:00:00+00:00,,,,,,,3.0,,,100.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
CN,2020-02-18 00:00:00+00:00,,,1.0,3.0,1.0,1.0,1.0,,700.0,,,2.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0
IT,2020-02-18 00:00:00+00:00,,,,,,,5.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,2020-02-18 00:00:00+00:00,,,,,,,5.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,2020-02-18 00:00:00+00:00,,,,,,,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,2020-02-18 00:00:00+00:00,,,,,,,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BE,2020-02-18 00:00:00+00:00,,,,,,,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LU,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BY,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CY,2020-02-18 00:00:00+00:00,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
