Code,Date,Estimates
GT,2020-03-28 00:00:00,335
GU,2020-03-25 00:00:00,580
GU,2020-03-27 00:00:00,580
GU,2020-03-28 00:00:00,580
GY,2020-03-25 00:00:00,70
GY,2020-03-27 00:00:00,70
GY,2020-03-28 00:00:00,70
HN,2020-03-25 00:00:00,720
HN,2020-03-27 00:00:00,720
HN,2020-03-28 00:00:00,720
HR,2020-03-24 00:00:00,3150
HR,2020-03-25 00:00:00,4180
HR,2020-03-27 00:00:00,4180
HR,2020-03-28 00:00:00,4180
HT,2020-03-25 00:00:00,320
HT,2020-03-27 00:00:00,320
HT,2020-03-28 00:00:00,320
HU,2020-03-24 00:00:00,1336
HU,2020-03-25 00:00:00,2113
HU,2020-03-27 00:00:00,2113
HU,2020-03-28 00:00:00,2113
CH,2020-03-24 00:00:00,51651
CH,2020-03-25 00:00:00,82430
CH,2020-03-27 00:00:00,82430
CH,2020-03-28 00:00:00,82430
ID,2020-03-24 00:00:00,8685
ID,2020-03-25 00:00:00,15800
ID,2020-03-27 00:00:00,15800
ID,2020-03-28 00:00:00,15800
IE,2020-03-24 00:00:00,4852
IE,2020-03-25 00:00:00,7029
IE,2020-03-27 00:00:00,7029
IE,2020-03-28 00:00:00,7029
IL,2020-03-24 00:00:00,3407
IL,2020-03-25 00:00:00,10671
IL,2020-03-27 00:00:00,10671
IL,2020-03-28 00:00:00,10671
IM,2020-03-25 00:00:00,250
IM,2020-03-27 00:00:00,250
IM,2020-03-28 00:00:00,250
IN,2020-03-24 00:00:00,4680
IN,2020-03-25 00:00:00,5620
IN,2020-03-27 00:00:00,5620
IN,2020-03-28 00:00:00,5620
IQ,2020-03-24 00:00:00,5320
IQ,2020-03-25 00:00:00,6320
IQ,2020-03-27 00:00:00,6320
IQ,2020-03-28 00:00:00,6320
IR,2020-03-24 00:00:00,902241
IR,2020-03-25 00:00:00,950195
IR,2020-03-27 00:00:00,950195
IR,2020-03-28 00:00:00,950195
IS,2020-03-24 00:00:00,3134
IS,2020-03-25 00:00:00,4551
IS,2020-03-27 00:00:00,4551
IS,2020-03-28 00:00:00,4551
IT,2020-03-24 00:00:00,751960
IT,2020-03-25 00:00:00,1003492
IT,2020-03-27 00:00:00,1003492
IT,2020-03-28 00:00:00,1003492
JE,2020-03-25 00:00:00,180
JE,2020-03-27 00:00:00,180
JE,2020-03-28 00:00:00,180
JM,2020-03-25 00:00:00,270
JM,2020-03-27 00:00:00,270
JM,2020-03-28 00:00:00,270
JO,2020-03-24 00:00:00,1120
JO,2020-03-25 00:00:00,1540
JO,2020-03-27 00:00:00,1540
JO,2020-03-28 00:00:00,1540
JP,2020-03-24 00:00:00,11280
JP,2020-03-25 00:00:00,10598
JP,2020-03-27 00:00:00,10598
JP,2020-03-28 00:00:00,10598
KE,2020-03-25 00:00:00,500
KE,2020-03-27 00:00:00,500
KE,2020-03-28 00:00:00,500
KG,2020-03-25 00:00:00,840
KG,2020-03-27 00:00:00,840
KG,2020-03-28 00:00:00,840
KH,2020-03-24 00:00:00,860
KH,2020-03-25 00:00:00,930
KH,2020-03-27 00:00:00,930
KH,2020-03-28 00:00:00,930
KR,2020-03-24 00:00:00,26883
KR,2020-03-25 00:00:00,18274
KR,2020-03-27 00:00:00,18274
KR,2020-03-28 00:00:00,18274
KW,2020-03-24 00:00:00,1890
KW,2020-03-25 00:00:00,1910
KW,2020-03-27 00:00:00,1910
KW,2020-03-28 00:00:00,1910
KZ,2020-03-24 00:00:00,620
KZ,2020-03-25 00:00:00,1440
KZ,2020-03-27 00:00:00,1440
KZ,2020-03-28 00:00:00,1440
LA,2020-03-25 00:00:00,40
LA,2020-03-27 00:00:00,40
LA,2020-03-28 00:00:00,40
LB,2020-03-24 00:00:00,2560
LB,2020-03-25 00:00:00,3040
LB,2020-03-27 00:00:00,3040
LB,2020-03-28 00:00:00,3040
LK,2020-03-24 00:00:00,970
LK,2020-03-25 00:00:00,1020
LK,2020-03-27 00:00:00,1020
LK,2020-03-28 00:00:00,1020
LR,2020-03-25 00:00:00,280
LR,2020-03-27 00:00:00,280
LR,2020-03-28 00:00:00,280
LT,2020-03-24 00:00:00,1232
LT,2020-03-25 00:00:00,2130
LT,2020-03-27 00:00:00,2130
LT,2020-03-28 00:00:00,2130
LU,2020-03-24 00:00:00,8750
LU,2020-03-25 00:00:00,10990
LU,2020-03-27 00:00:00,10990
LU,2020-03-28 00:00:00,10990
LV,2020-03-24 00:00:00,1440
LV,2020-03-25 00:00:00,1550
LV,2020-03-27 00:00:00,1550
LV,2020-03-28 00:00:00,1550
LY,2020-03-25 00:00:00,30
LY,2020-03-27 00:00:00,30
LY,2020-03-28 00:00:00,30
MA,2020-03-24 00:00:00,1430
MA,2020-03-25 00:00:00,1700
MA,2020-03-27 00:00:00,1700
MA,2020-03-28 00:00:00,1700
MC,2020-03-25 00:00:00,250
MC,2020-03-27 00:00:00,250
MC,2020-03-28 00:00:00,250
MD,2020-03-24 00:00:00,940
MD,2020-03-25 00:00:00,1250
MD,2020-03-27 00:00:00,1250
MD,2020-03-28 00:00:00,1250
ME,2020-03-25 00:00:00,940
ME,2020-03-27 00:00:00,940
ME,2020-03-28 00:00:00,940
MG,2020-03-25 00:00:00,420
MG,2020-03-27 00:00:00,420
MG,2020-03-28 00:00:00,420
MK,2020-03-25 00:00:00,1624
MK,2020-03-27 00:00:00,1624
MK,2020-03-28 00:00:00,1624
MM,2020-03-25 00:00:00,50
MM,2020-03-27 00:00:00,50
MM,2020-03-28 00:00:00,50
MN,2020-03-25 00:00:00,120
MN,2020-03-27 00:00:00,120
MN,2020-03-28 00:00:00,120
MP,2020-03-25 00:00:00,20
MP,2020-03-27 00:00:00,20
MP,2020-03-28 00:00:00,20
MR,2020-03-25 00:00:00,270
MR,2020-03-27 00:00:00,270
MR,2020-03-28 00:00:00,270
MT,2020-03-24 00:00:00,856
MT,2020-03-25 00:00:00,1100
MT,2020-03-27 00:00:00,1100
MT,2020-03-28 00:00:00,1100
MU,2020-03-25 00:00:00,960
MU,2020-03-27 00:00:00,960
MU,2020-03-28 00:00:00,960
MV,2020-03-25 00:00:00,150
MV,2020-03-27 00:00:00,150
MV,2020-03-28 00:00:00,150
MX,2020-03-24 00:00:00,3160
MX,2020-03-25 00:00:00,11010
MX,2020-03-27 00:00:00,11010
MX,2020-03-28 00:00:00,11010
MY,2020-03-24 00:00:00,16217
MY,2020-03-25 00:00:00,20771
MY,2020-03-27 00:00:00,20771
MY,2020-03-28 00:00:00,20771
MZ,2020-03-25 00:00:00,50
MZ,2020-03-27 00:00:00,50
MZ,2020-03-28 00:00:00,50
NA,2020-03-25 00:00:00,133
NA,2020-03-27 00:00:00,133
NA,2020-03-28 00:00:00,133
NE,2020-03-25 00:00:00,320
NE,2020-03-27 00:00:00,320
NE,2020-03-28 00:00:00,320
NG,2020-03-25 00:00:00,920
NG,2020-03-27 00:00:00,920
NG,2020-03-28 00:00:00,920
NI,2020-03-25 00:00:00,270
NI,2020-03-27 00:00:00,270
NI,2020-03-28 00:00:00,270
NL,2020-03-24 00:00:00,218880
NL,2020-03-25 00:00:00,277400
NL,2020-03-27 00:00:00,277400
NL,2020-03-28 00:00:00,277400
NO,2020-03-24 00:00:00,18280
